日期,榜单,排名,排名变化,股票代码,股票名称,行业,当前价格,涨跌幅(%),涨跌额,成交额(亿),总市值(亿),换手率(%)
2026-08-27,全球,1,0,NVDA,英伟达,半导体,227.48,8.4995,17.82,486.33,54822.68,0.89
2026-08-27,全球,2,0,MU,美光科技,半导体,912.3386,-2.7772,-26.0614,186.98,10303.45,1.78
2026-08-27,全球,3,0,SNDK,闪迪,半导体,1476.05,-1.5553,-23.32,100.78,2161.96,4.6
2026-08-27,全球,4,0,SZ300476,胜宏科技,PCB电路板,263.05,5.46,13.61,102.08,2585.22,4.55
2026-08-27,全球,5,0,BABA,阿里巴巴,互联网,115.34,-3.747,-4.49,12.14,2866.92,0.42
2026-08-27,全球,6,0,SKHY,SK海力士,半导体,159.4875,0.9287,1.4675,17.05,11624.49,0.14
2026-08-27,全球,7,0,LITE,Lumentum控股,光通信,945.12,0.6485,6.09,27.22,847.53,3.24
2026-08-27,全球,8,0,MRNA,Moderna,生物医药,143.785,-3.9256,-5.875,23.86,574.06,4.2
2026-08-27,全球,9,0,SZ001309,德明利,电子元器件,429.76,10.0,39.07,87.62,974.88,12.72
2026-08-27,沪深,1,0,SZ300476,胜宏科技,PCB电路板,263.05,5.46,13.61,102.08,2585.22,4.55
2026-08-27,沪深,2,0,SZ001309,德明利,电子元器件,429.76,10.0,39.07,87.62,974.88,12.72
2026-08-27,沪深,3,0,SZ002851,麦格米特,电源设备,127.66,3.7,4.55,36.73,746.82,5.94
2026-08-27,沪深,4,0,SZ300274,阳光电源,光伏设备,98.84,-12.24,-13.78,141.33,2049.16,8.92
2026-08-27,沪深,5,2,SH600887,伊利股份,乳制品,26.45,1.34,0.35,37.38,1673.06,2.25
2026-08-27,沪深,6,0,SZ300642,透景生命,医疗诊断,17.3,0.35,0.06,5.76,28.07,24.56
2026-08-27,沪深,7,0,SZ300308,中际旭创,光通信,866.12,1.79,15.22,227.8,10131.31,2.36
2026-08-27,沪深,8,1,SZ002466,天齐锂业,锂矿,48.23,1.41,0.67,16.16,826.23,2.3
2026-08-27,沪深,9,0,SZ002428,云南锗业,稀有金属,101.36,8.44,7.89,84.58,662.0,13.12
2026-08-27,港股,1,0,NVDA,英伟达,半导体,227.5,8.509,17.84,486.41,54827.5,0.89
2026-08-27,港股,2,0,MU,美光科技,半导体,912.3,-2.7813,-26.1,187.0,10303.68,1.78
2026-08-27,港股,3,0,SNDK,闪迪,半导体,1476.05,-1.5553,-23.32,100.79,2161.33,4.6
2026-08-27,港股,4,0,BABA,阿里巴巴,互联网,115.34,-3.747,-4.49,12.14,2866.92,0.42
2026-08-27,港股,5,0,SKHY,SK海力士,半导体,159.4875,0.9287,1.4675,17.1,11631.96,0.14
2026-08-27,港股,6,0,LITE,Lumentum控股,光通信,945.12,0.6485,6.09,27.22,847.53,3.24
2026-08-27,港股,7,0,MRNA,Moderna,生物医药,143.71,-3.9757,-5.95,23.87,573.92,4.2
2026-08-27,港股,8,-1,CRM,赛富时,企业软件,249.0,21.0972,43.38,103.57,2039.47,5.16
2026-08-27,港股,9,0,TSLA,特斯拉,新能源汽车,353.5999,2.2497,7.7799,71.15,13965.6,0.51
2026-08-27,美股,1,-1,09926,康方生物,生物医药,101.2,7.43,7.0,17.17,932.2,1.88
2026-08-27,美股,2,1,01810,小米集团-W,消费电子,27.48,-3.44,-0.98,40.45,7078.57,0.68
2026-08-27,美股,3,1,00700,腾讯控股,互联网,447.8,0.54,2.4,51.54,40763.89,0.13
2026-08-27,美股,4,-1,02513,智谱,人工智能,1160.0,12.62,130.0,76.54,5401.23,2.84
2026-08-27,美股,5,1,02556,迈富时,生物医药,53.45,9.26,4.53,3.61,143.11,2.58
2026-08-27,美股,6,-3,09992,泡泡玛特,潮玩零售,154.0,-0.19,-0.3,10.51,2050.94,0.51
2026-08-27,美股,7,1,09988,阿里巴巴-W,互联网,115.5,-0.94,-1.1,96.56,22967.16,0.42
2026-08-27,美股,8,0,03690,美团-W,互联网,77.5,-0.7,-0.55,21.38,4785.99,0.49
2026-08-27,美股,9,-8,01024,快手-W,互联网,33.66,0.12,0.04,9.26,1456.45,0.75
