日期,榜单,排名,排名变化,股票代码,股票名称,行业,当前价格,涨跌幅(%),涨跌额,成交额(亿),总市值(亿),换手率(%)
2026-09-24,全球,1,0,SZ300750,宁德时代,新能源电池,293.5,-2.49,-7.5,82.91,13580.95,0.66
2026-09-24,全球,2,1,SZ300308,中际旭创,光模块,895.86,-2.89,-26.64,168.69,10552.42,1.67
2026-09-24,全球,3,-1,SH601899,紫金矿业,有色金属,30.01,-4.46,-1.4,65.07,7979.87,1.04
2026-09-24,全球,4,0,SZ000592,平潭发展,其他,8.78,10.03,0.8,27.17,169.61,17.01
2026-09-24,全球,5,0,SH600547,山东黄金,黄金,29.07,-6.01,-1.86,24.7,1340.11,2.31
2026-09-24,全球,6,0,SZ300300,海峡创新,其他,10.81,19.98,1.8,16.04,72.09,24.26
2026-09-24,全球,7,0,SH600487,亨通光电,光纤光缆,67.38,-3.66,-2.56,75.06,1661.86,4.46
2026-09-24,全球,8,0,SZ000792,盐湖股份,锂矿,23.7,-3.19,-0.78,12.01,1254.1,0.95
2026-09-24,全球,9,0,SH601091,沈鼓集团,工业机械,27.0,-10.0,-3.0,15.22,839.7,26.15
2026-09-24,沪深,1,0,SZ300750,宁德时代,新能源电池,293.5,-2.49,-7.5,82.91,13580.95,0.66
2026-09-24,沪深,2,1,SZ300308,中际旭创,光模块,895.86,-2.89,-26.64,168.69,10552.42,1.67
2026-09-24,沪深,3,-1,SH601899,紫金矿业,有色金属,30.01,-4.46,-1.4,65.07,7979.87,1.04
2026-09-24,沪深,4,0,SZ000592,平潭发展,其他,8.78,10.03,0.8,27.17,169.61,17.01
2026-09-24,沪深,5,0,SH600547,山东黄金,黄金,29.07,-6.01,-1.86,24.7,1340.11,2.31
2026-09-24,沪深,6,0,SZ300300,海峡创新,其他,10.81,19.98,1.8,16.04,72.09,24.26
2026-09-24,沪深,7,0,SH600487,亨通光电,光纤光缆,67.38,-3.66,-2.56,75.06,1661.86,4.46
2026-09-24,沪深,8,0,SZ000792,盐湖股份,锂矿,23.7,-3.19,-0.78,12.01,1254.1,0.95
2026-09-24,沪深,9,0,SH601091,沈鼓集团,工业机械,27.0,-10.0,-3.0,15.22,839.7,26.15
2026-09-24,港股,1,1,NVDA,英伟达,半导体,225.51,-1.4681,-3.36,202.19,54347.91,0.37
2026-09-24,港股,2,0,MU,美光科技,半导体,1071.88,-2.215,-24.28,232.59,12105.74,1.91
2026-09-24,港股,3,3,META,Meta,互联网,744.1,1.0189,7.505,231.35,18955.99,1.21
2026-09-24,港股,4,0,SNDK,闪迪,半导体,1816.57,-3.7344,-70.47,142.06,2659.8,5.28
2026-09-24,港股,5,-5,QCOM,高通,半导体,197.24,-0.5195,-1.03,19.16,2071.48,0.93
2026-09-24,港股,6,-2,MCD,麦当劳,餐饮,238.32,-4.8053,-12.03,39.58,1686.45,2.35
2026-09-24,港股,7,2,SKHY,SK海力士,半导体,189.28,-3.1172,-6.09,26.47,13795.97,0.19
2026-09-24,港股,8,2,BABA,阿里巴巴,互联网,110.8,-4.7373,-5.51,13.61,2755.11,0.49
2026-09-24,港股,9,0,INTC,英特尔,半导体,122.6,-1.0173,-1.26,103.83,6480.77,1.62
2026-09-24,美股,1,0,02513,智谱,人工智能,638.5,-1.77,-11.5,41.47,3113.25,2.48
2026-09-24,美股,2,0,00700,腾讯控股,互联网,438.4,-0.59,-2.6,62.38,39873.06,0.16
2026-09-24,美股,3,-1,09992,泡泡玛特,潮玩消费,151.1,-1.56,-2.4,7.12,2012.32,0.35
2026-09-24,美股,4,0,01810,小米集团-W,消费电子,26.58,1.53,0.4,21.75,6847.05,0.39
2026-09-24,美股,5,1,01888,建滔积层板,电子材料,52.15,1.16,0.6,39.94,1643.48,2.48
2026-09-24,美股,6,-2,06869,长飞光纤光缆,光纤光缆,187.2,-4.34,-8.5,27.82,1549.84,3.51
2026-09-24,美股,7,-1,03308,中际旭创,光模块,1174.0,-1.34,-16.0,16.21,13828.66,2.23
2026-09-24,美股,8,-1,09696,天齐锂业,锂矿,29.2,-4.58,-1.4,0.9,500.23,1.29
2026-09-24,美股,9,-1,09926,康方生物,医药,93.9,-3.69,-3.6,5.95,864.95,0.69
