日期,榜单,排名,排名变化,股票代码,股票名称,行业,当前价格,涨跌幅(%),涨跌额,成交额(亿),总市值(亿),换手率(%)
2026-07-03,全球,1,0,SH603618,杭电股份,电力设备,49.0,2.96,1.41,26.97,338.77,7.95
2026-07-03,全球,2,0,SZ000725,京东方A,显示面板,8.38,-7.91,-0.72,355.97,3104.31,11.72
2026-07-03,全球,3,0,SZ300308,中际旭创,光模块,1116.0,-2.36,-27.0,377.02,12446.02,2.96
2026-07-03,全球,4,0,SH603986,兆易创新,半导体,677.77,-2.45,-17.04,426.74,4756.25,9.33
2026-07-03,全球,5,0,SZ002594,比亚迪,新能源汽车,88.47,5.86,4.9,72.98,8065.98,2.41
2026-07-03,全球,6,0,SZ002384,东山精密,消费电子,232.73,4.98,11.05,278.21,4262.7,8.96
2026-07-03,全球,7,1,SH603738,泰晶科技,电子元器件,53.51,-9.99,-5.94,29.94,206.49,13.85
2026-07-03,全球,8,-1,SH688017,绿的谐波,工业机器人,488.0,18.15,74.95,125.29,894.65,14.7
2026-07-03,全球,9,0,SH688146,中船特气,工业气体,330.14,-9.55,-34.86,44.72,1747.8,8.99
2026-07-03,沪深,1,0,SH603618,杭电股份,电力设备,49.0,2.96,1.41,26.97,338.77,7.95
2026-07-03,沪深,2,0,SZ000725,京东方A,显示面板,8.38,-7.91,-0.72,355.97,3104.31,11.72
2026-07-03,沪深,3,0,SZ300308,中际旭创,光模块,1116.0,-2.36,-27.0,377.02,12446.02,2.96
2026-07-03,沪深,4,0,SH603986,兆易创新,半导体,677.77,-2.45,-17.04,426.74,4756.25,9.33
2026-07-03,沪深,5,0,SZ002594,比亚迪,新能源汽车,88.47,5.86,4.9,72.98,8065.98,2.41
2026-07-03,沪深,6,0,SZ002384,东山精密,消费电子,232.73,4.98,11.05,278.21,4262.7,8.96
2026-07-03,沪深,7,1,SH603738,泰晶科技,电子元器件,53.51,-9.99,-5.94,29.94,206.49,13.85
2026-07-03,沪深,8,-1,SH688017,绿的谐波,工业机器人,488.0,18.15,74.95,125.29,894.65,14.7
2026-07-03,沪深,9,0,SH688146,中船特气,工业气体,330.14,-9.55,-34.86,44.72,1747.8,8.99
2026-07-03,港股,1,-5,MU,美光科技,半导体,975.56,-5.4946,-56.72,617.29,11017.91,5.48
2026-07-03,港股,2,-1,META,Meta,互联网,582.9,-4.8963,-30.01,128.2,14796.47,0.86
2026-07-03,港股,3,-7,NVDA,英伟达,半导体,194.83,-1.3918,-2.75,277.79,47148.86,0.59
2026-07-03,港股,4,-1,SNDK,闪迪,半导体,1745.0,-14.1333,-287.22,316.02,2584.17,11.71
2026-07-03,港股,5,3,ASML,阿斯麦,半导体设备,1769.32,-3.9999,-73.72,48.43,6819.27,0.7
2026-07-03,港股,6,-10,GLW,康宁,玻璃材料,196.79,-10.8054,-23.84,43.22,1693.65,2.46
2026-07-03,港股,7,5,TSM,台积电,半导体,434.16,-2.2668,-10.07,81.07,22517.6,0.36
2026-07-03,港股,8,-1,TSLA,特斯拉,新能源汽车,393.45,-7.4888,-31.85,295.84,14776.9,1.97
2026-07-03,港股,9,-3,BABA,阿里巴巴,互联网,96.14,-1.8879,-1.85,11.33,2307.61,0.49
2026-07-03,美股,1,0,00700,腾讯控股,互联网,431.2,0.23,1.0,108.98,39205.72,0.27
2026-07-03,美股,2,-4,09992,泡泡玛特,消费玩具,153.3,-0.07,-0.1,15.27,2041.53,0.74
2026-07-03,美股,3,0,01810,小米集团-W,消费电子,22.96,1.59,0.36,62.58,5920.32,1.26
2026-07-03,美股,4,0,09926,康方生物,医药,102.4,8.02,7.6,19.91,943.25,2.15
2026-07-03,美股,5,6,01024,快手-W,互联网,42.6,-0.09,-0.04,41.34,1843.26,2.6
2026-07-03,美股,6,-1,09995,荣昌生物,医药,87.8,9.68,7.75,8.64,495.61,4.84
2026-07-03,美股,7,-10,06869,长飞光纤光缆,光纤光缆,201.2,1.64,3.239,40.1,1665.75,4.7
2026-07-03,美股,8,-5,02899,紫金矿业,矿业,30.72,9.01,2.54,41.4,8168.67,2.25
2026-07-03,美股,9,-6,09880,优必选,机器人,108.9,17.6,16.3,33.53,548.2,7.55
