日期,榜单,排名,排名变化,股票代码,股票名称,行业,当前价格,涨跌幅(%),涨跌额,成交额(亿),总市值(亿),换手率(%)
2026-06-25,全球,1,0,MU,美光科技,半导体,1048.51,-0.31,-3.26,737.31,11824.4,6.11
2026-06-25,全球,2,0,SH603986,兆易创新,半导体,775.21,9.94,70.12,384.33,5440.03,7.61
2026-06-25,全球,3,0,SZ000725,京东方A,面板显示,7.52,6.36,0.45,275.6,2785.73,10.45
2026-06-25,全球,4,0,SH601899,紫金矿业,黄金矿业,25.92,-6.26,-1.73,150.37,6892.31,2.8
2026-06-25,全球,5,2,SZ000703,恒逸石化,化工,15.53,5.0,0.74,17.52,593.41,3.11
2026-06-25,全球,6,-1,SZ001309,德明利,电子元件,891.0,10.0,81.0,176.68,2021.19,12.3
2026-06-25,全球,7,-1,SH600584,长电科技,半导体,104.17,10.0,9.47,123.21,1864.03,6.69
2026-06-25,全球,8,0,SZ000636,风华高科,电子元件,79.62,10.0,7.24,111.75,921.21,12.54
2026-06-25,全球,9,1,SH688146,中船特气,工业气体,389.99,0.0,0.0,,2064.65,
2026-06-25,沪深,1,0,SH603986,兆易创新,半导体,775.21,9.94,70.12,384.33,5440.03,7.61
2026-06-25,沪深,2,0,SZ000725,京东方A,面板显示,7.52,6.36,0.45,275.6,2785.73,10.45
2026-06-25,沪深,3,0,SH601899,紫金矿业,黄金矿业,25.92,-6.26,-1.73,150.37,6892.31,2.8
2026-06-25,沪深,4,2,SZ000703,恒逸石化,化工,15.53,5.0,0.74,17.52,593.41,3.11
2026-06-25,沪深,5,-1,SZ001309,德明利,电子元件,891.0,10.0,81.0,176.68,2021.19,12.3
2026-06-25,沪深,6,-1,SH600584,长电科技,半导体,104.17,10.0,9.47,123.21,1864.03,6.69
2026-06-25,沪深,7,0,SZ000636,风华高科,电子元件,79.62,10.0,7.24,111.75,921.21,12.54
2026-06-25,沪深,8,1,SH688146,中船特气,工业气体,389.99,0.0,0.0,,2064.65,
2026-06-25,沪深,9,-1,SZ300136,信维通信,消费电子,116.73,13.2,13.61,170.88,1129.44,18.9
2026-06-25,港股,1,0,MU,美光科技,半导体,1048.51,-0.31,-3.26,737.31,11824.4,6.11
2026-06-25,港股,2,0,PDD,拼多多,电商,75.74,-1.0711,-0.82,6.05,1078.08,0.56
2026-06-25,港股,3,0,GLW,康宁,玻璃材料,205.83,6.0597,11.76,40.01,1771.45,2.23
2026-06-25,港股,4,0,BABA,阿里巴巴,电商,99.8,-2.729,-2.8,15.42,2394.34,0.64
2026-06-25,港股,5,7,SNDK,闪迪,半导体,1914.46,-2.5025,-49.14,203.81,2835.12,7.04
2026-06-25,港股,6,4,NVDA,英伟达,半导体,199.0,-0.5199,-1.04,302.5,48158.0,0.63
2026-06-25,港股,7,2,SPCX,SpaceX,航天,154.54,-1.0057,-1.57,118.65,20336.23,0.58
2026-06-25,港股,8,-1,INTC,英特尔,半导体,131.65,-0.4763,-0.63,138.52,6616.73,2.08
2026-06-25,港股,9,-1,QCOM,高通,半导体,197.41,-3.292,-6.72,50.68,2080.7,2.42
2026-06-25,美股,1,0,01810,小米集团-W,消费电子,22.3,-2.87,-0.66,39.7,5762.8,0.84
2026-06-25,美股,2,0,09988,阿里巴巴-W,电商,95.0,-4.43,-4.4,134.47,18245.77,0.74
2026-06-25,美股,3,0,00700,腾讯控股,互联网,421.4,-1.73,-7.4,124.61,38381.92,0.32
2026-06-25,美股,4,0,09992,泡泡玛特,潮玩零售,156.0,-1.33,-2.1,26.31,2077.49,1.28
2026-06-25,美股,5,4,00883,中国海洋石油,石油,21.22,-2.75,-0.6,30.82,10085.86,0.33
2026-06-25,美股,6,0,02513,智谱,人工智能,2350.0,8.1,176.0,44.84,10477.31,0.87
2026-06-25,美股,7,-6,01888,建滔积层板,电子材料,104.2,11.38,10.65,73.94,3283.81,2.32
2026-06-25,美股,8,2,03690,美团-W,互联网,66.1,-2.44,-1.65,41.69,4081.42,1.13
2026-06-25,美股,9,-2,06181,老铺黄金,黄金珠宝,367.8,-8.1,-32.4,7.44,650.07,1.39
