日期,榜单,排名,排名变化,股票代码,股票名称,行业,当前价格,涨跌幅(%),涨跌额,成交额(亿),总市值(亿),换手率(%)
2026-08-17,全球,1,0,SH688825,长鑫科技,半导体,61.8,12.0,6.62,335.18,41332.39,12.57
2026-08-17,全球,2,0,SH600519,贵州茅台,白酒,1293.09,-3.64,-48.9,101.15,16164.68,0.63
2026-08-17,全球,3,0,SZ300308,中际旭创,光模块,1001.03,6.15,58.03,352.74,11709.39,3.27
2026-08-17,全球,4,0,SH603259,药明康德,医药,166.89,4.8,7.65,113.65,4979.59,2.79
2026-08-17,全球,5,0,SH603629,利通电子,消费电子,142.84,3.88,5.34,106.07,523.83,21.05
2026-08-17,全球,6,0,SH603986,兆易创新,半导体,444.0,6.35,26.52,257.1,3115.75,8.81
2026-08-17,全球,7,0,SH600584,长电科技,半导体,85.85,9.07,7.14,158.27,1536.21,10.68
2026-08-17,全球,8,0,SH600887,伊利股份,乳制品,25.23,-1.1,-0.28,14.78,1595.89,0.93
2026-08-17,全球,9,0,SH601899,紫金矿业,黄金矿业,33.36,2.55,0.83,65.58,8870.66,0.96
2026-08-17,沪深,1,0,SH688825,长鑫科技,半导体,61.8,12.0,6.62,335.18,41332.39,12.57
2026-08-17,沪深,2,0,SH600519,贵州茅台,白酒,1293.09,-3.64,-48.9,101.15,16164.68,0.63
2026-08-17,沪深,3,0,SZ300308,中际旭创,光模块,1001.03,6.15,58.03,352.74,11709.39,3.27
2026-08-17,沪深,4,0,SH603259,药明康德,医药,166.89,4.8,7.65,113.65,4979.59,2.79
2026-08-17,沪深,5,0,SH603629,利通电子,消费电子,142.84,3.88,5.34,106.07,523.83,21.05
2026-08-17,沪深,6,0,SH603986,兆易创新,半导体,444.0,6.35,26.52,257.1,3115.75,8.81
2026-08-17,沪深,7,0,SH600584,长电科技,半导体,85.85,9.07,7.14,158.27,1536.21,10.68
2026-08-17,沪深,8,0,SH600887,伊利股份,乳制品,25.23,-1.1,-0.28,14.78,1595.89,0.93
2026-08-17,沪深,9,0,SH601899,紫金矿业,黄金矿业,33.36,2.55,0.83,65.58,8870.66,0.96
2026-08-17,港股,1,5,SNDK,闪迪,半导体,1641.11,7.3948,113.0,340.95,2445.25,14.09
2026-08-17,港股,2,9,MU,美光科技,半导体,971.66,2.2983,21.83,269.97,10973.86,2.47
2026-08-17,港股,3,19,SKHY,SK海力士,半导体,166.33,0.3984,0.66,34.57,12123.22,0.28
2026-08-17,港股,4,36,NVDA,英伟达,半导体,225.16,-0.0621,-0.14,170.66,54488.72,0.31
2026-08-17,港股,5,36,PDD,拼多多,电商,84.79,0.7366,0.62,3.99,1206.9,0.33
2026-08-17,港股,6,50,BABA,阿里巴巴,电商,123.81,1.3507,1.65,10.18,2967.57,0.34
2026-08-17,港股,7,29,SPCX,SpaceX,航天,140.0,-0.913,-1.29,134.1,18454.49,0.73
2026-08-17,港股,8,27,NBIS,Nebius Group,云计算,277.68,8.877,22.64,78.73,754.89,10.68
2026-08-17,港股,9,21,SMMT,Summit Therapeutics,医药,13.35,-4.6429,-0.65,1.3,106.5,1.22
2026-08-17,美股,1,1,00700,腾讯控股,互联网,448.0,1.82,8.0,83.19,40763.64,0.2
2026-08-17,美股,2,1,09926,康方生物,医药,90.65,-5.57,-5.35,20.26,836.4,2.43
2026-08-17,美股,3,0,02513,智谱,人工智能,1199.0,-5.59,-71.0,79.85,5568.85,2.75
2026-08-17,美股,4,0,09992,泡泡玛特,潮玩,153.9,-0.13,-0.2,11.43,2050.94,0.55
2026-08-17,美股,5,5,09988,阿里巴巴-W,电商,122.8,2.42,2.9,55.11,23527.71,0.23
2026-08-17,美股,6,4,07709,XL二南方海力士,半导体,40.54,9.75,3.6,43.36,438.22,10.1
2026-08-17,美股,7,2,01810,小米集团-W,消费电子,25.94,1.25,0.32,24.8,6686.92,0.45
2026-08-17,美股,8,3,00981,中芯国际,半导体,75.15,6.14,4.35,101.65,6437.92,2.26
2026-08-17,美股,9,6,06869,长飞光纤光缆,光纤光缆,149.1,12.78,16.9,46.78,1234.41,7.77
