日期,榜单,排名,排名变化,股票代码,股票名称,行业,当前价格,涨跌幅(%),涨跌额,成交额(亿),总市值(亿),换手率(%)
2026-09-22,全球,1,0,SZ300750,宁德时代,新能源电池,304.63,2.53,7.53,144.77,14095.96,1.11
2026-09-22,全球,2,0,SZ002028,思源电气,电力设备,128.4,-7.55,-10.49,22.9,1004.82,2.82
2026-09-22,全球,3,0,SZ000002,万科A,房地产,3.81,4.38,0.16,30.38,454.56,8.44
2026-09-22,全球,4,0,SZ301686,N中塑股份,塑料制品,433.0,683.29,377.72,23.39,213.61,90.03
2026-09-22,全球,5,0,00700,腾讯控股,互联网,451.6,5.02,21.6,321.66,41073.41,0.78
2026-09-22,全球,6,0,SH688146,中船特气,特种气体,214.61,-9.84,-23.42,53.09,1136.17,16.27
2026-09-22,全球,7,0,SH601872,招商轮船,航运,21.48,-6.24,-1.43,41.73,1734.41,2.4
2026-09-22,全球,8,1,SH600499,科达制造,机械设备,12.06,-9.93,-1.33,12.5,231.29,5.38
2026-09-22,全球,9,-1,SH601091,C沈鼓,机械设备,37.98,0.69,0.26,43.81,1181.18,54.2
2026-09-22,沪深,1,0,SZ300750,宁德时代,新能源电池,304.63,2.53,7.53,144.77,14095.96,1.11
2026-09-22,沪深,2,0,SZ002028,思源电气,电力设备,128.4,-7.55,-10.49,22.9,1004.82,2.82
2026-09-22,沪深,3,0,SZ000002,万科A,房地产,3.81,4.38,0.16,30.38,454.56,8.44
2026-09-22,沪深,4,0,SZ301686,N中塑股份,塑料制品,433.0,683.29,377.72,23.39,213.61,90.03
2026-09-22,沪深,5,0,SH688146,中船特气,特种气体,214.61,-9.84,-23.42,53.09,1136.17,16.27
2026-09-22,沪深,6,0,SH601872,招商轮船,航运,21.48,-6.24,-1.43,41.73,1734.41,2.4
2026-09-22,沪深,7,1,SH600499,科达制造,机械设备,12.06,-9.93,-1.33,12.5,231.29,5.38
2026-09-22,沪深,8,-1,SH601091,C沈鼓,机械设备,37.98,0.69,0.26,43.81,1181.18,54.2
2026-09-22,沪深,9,0,SZ300209,行云科技,物联网,38.15,2.89,1.07,28.18,354.27,9.94
2026-09-22,港股,1,0,META,Meta,互联网,741.245,11.4277,76.02,354.15,18883.26,1.91
2026-09-22,港股,2,2,BABA,阿里巴巴,互联网,115.75,2.2165,2.51,10.98,2877.11,0.38
2026-09-22,港股,3,0,NVDA,英伟达,半导体,227.38,2.299,5.11,248.08,54798.58,0.46
2026-09-22,港股,4,-1,INTC,英特尔,半导体,121.78,12.1363,13.18,231.71,6437.42,3.63
2026-09-22,港股,5,0,FRO,Frontline,航运,49.81,-3.1311,-1.61,2.78,110.89,2.47
2026-09-22,港股,6,1,AMD,超威半导体,半导体,615.52,9.9496,55.7,270.31,10048.21,2.73
2026-09-22,港股,7,1,MU,美光科技,半导体,1043.96,2.7722,28.16,293.98,11790.41,2.49
2026-09-22,港股,8,-1,SNDK,闪迪,半导体,1766.64,-1.4053,-25.18,185.45,2586.7,7.13
2026-09-22,港股,9,1,MSFT,微软,软件,501.61,1.5857,7.83,139.32,37247.28,0.38
2026-09-22,美股,1,0,00700,腾讯控股,互联网,451.6,5.02,21.6,321.66,41073.41,0.78
2026-09-22,美股,2,-1,02513,智谱,人工智能,742.0,-6.55,-52.0,52.68,3617.9,2.61
2026-09-22,美股,3,0,09992,泡泡玛特,消费玩具,154.2,-0.58,-0.9,5.27,2053.6,0.26
2026-09-22,美股,4,1,09988,阿里巴巴-W,互联网,114.8,1.95,2.2,143.39,22827.97,0.62
2026-09-22,美股,5,0,01810,小米集团-W,消费电子,27.2,-1.38,-0.38,35.23,7006.59,0.6
2026-09-22,美股,6,-1,09926,康方生物,医药,95.9,-3.42,-3.4,8.54,883.38,0.96
2026-09-22,美股,7,-1,00100,MINIMAX-W,人工智能,286.4,-3.89,-11.6,29.0,1000.21,3.66
2026-09-22,美股,8,11,00148,建滔集团,化工,55.55,-2.8,-1.6,13.95,623.15,2.17
2026-09-22,美股,9,3,00853,微创医疗,医疗器械,6.075,0.0,0.0,,116.48,
