日期,榜单,排名,排名变化,股票代码,股票名称,行业,当前价格,涨跌幅(%),涨跌额,成交额(亿),总市值(亿),换手率(%)
2026-08-07,全球,1,0,SZ300308,中际旭创,光模块,919.87,-3.68,-35.13,546.71,10760.04,5.15
2026-08-07,全球,2,0,SH603259,药明康德,医药外包,154.82,8.49,12.12,139.56,4619.45,3.75
2026-08-07,全球,3,0,SZ300476,胜宏科技,PCB,280.2,12.01,30.05,197.51,2753.76,8.39
2026-08-07,全球,4,0,SH603986,兆易创新,半导体,417.05,8.32,32.05,305.21,2926.63,11.18
2026-08-07,全球,5,0,SZ300757,罗博特科,工业机器人,510.0,8.3,39.1,49.45,854.8,6.27
2026-08-07,全球,6,0,SZ300209,行云科技,云计算,37.19,7.27,2.52,71.58,345.36,27.14
2026-08-07,全球,7,1,SZ002384,东山精密,消费电子,195.27,4.04,7.59,200.99,3576.58,7.38
2026-08-07,全球,8,1,SH688825,长鑫科技,半导体,52.48,1.0,0.52,267.02,35099.09,11.45
2026-08-07,全球,9,-2,SZ301217,铜冠铜箔,铜箔,115.81,16.98,16.81,88.37,960.08,9.57
2026-08-07,沪深,1,0,SZ300308,中际旭创,光模块,919.87,-3.68,-35.13,546.71,10760.04,5.15
2026-08-07,沪深,2,0,SH603259,药明康德,医药外包,154.82,8.49,12.12,139.56,4619.45,3.75
2026-08-07,沪深,3,0,SZ300476,胜宏科技,PCB,280.2,12.01,30.05,197.51,2753.76,8.39
2026-08-07,沪深,4,0,SH603986,兆易创新,半导体,417.05,8.32,32.05,305.21,2926.63,11.18
2026-08-07,沪深,5,0,SZ300757,罗博特科,工业机器人,510.0,8.3,39.1,49.45,854.8,6.27
2026-08-07,沪深,6,0,SZ300209,行云科技,云计算,37.19,7.27,2.52,71.58,345.36,27.14
2026-08-07,沪深,7,1,SZ002384,东山精密,消费电子,195.27,4.04,7.59,200.99,3576.58,7.38
2026-08-07,沪深,8,1,SH688825,长鑫科技,半导体,52.48,1.0,0.52,267.02,35099.09,11.45
2026-08-07,沪深,9,-2,SZ301217,铜冠铜箔,铜箔,115.81,16.98,16.81,88.37,960.08,9.57
2026-08-07,港股,1,6,SKHY,SK海力士,半导体,143.53,-4.9659,-7.5,31.87,10461.41,0.31
2026-08-07,港股,2,57,AAOI,应用光电,光模块,124.22,-3.3759,-4.34,19.53,105.05,18.18
2026-08-07,港股,3,36,SNDK,闪迪,半导体,1258.58,-6.8064,-91.92,242.13,1875.28,12.86
2026-08-07,港股,4,47,MU,美光科技,半导体,881.47,-1.3122,-11.72,316.16,9955.26,3.17
2026-08-07,港股,5,180,LITE,Lumentum控股,光通信,838.06,1.4281,11.8,35.26,652.01,5.32
2026-08-07,港股,6,31,SPCX,SpaceX,航天,114.92,6.1421,6.65,282.03,15148.5,1.94
2026-08-07,港股,7,81,NET,Cloudflare,云计算,284.43,-2.9117,-8.53,16.4,1012.8,1.58
2026-08-07,港股,8,59,NVDA,英伟达,半导体,218.99,-0.1049,-0.23,250.55,52995.58,0.47
2026-08-07,港股,9,449,COHR,Coherent,光通信,334.22,1.828,6.0,20.34,653.87,3.09
2026-08-07,美股,1,2,07709,XL二南方海力士,半导体,31.06,-1.4,-0.44,93.49,300.04,33.36
2026-08-07,美股,2,4,00700,腾讯控股,互联网,478.8,-0.08,-0.4,78.04,43488.07,0.18
2026-08-07,美股,3,0,03308,中际旭创,光模块,1110.0,-3.56,-41.0,27.4,12984.05,4.36
2026-08-07,美股,4,1,09992,泡泡玛特,潮玩,157.8,0.32,0.5,13.15,2101.55,0.63
2026-08-07,美股,5,5,02269,药明生物,医药外包,45.86,10.83,4.48,33.92,1900.24,1.84
2026-08-07,美股,6,1,01810,小米集团-W,消费电子,27.06,0.74,0.2,39.44,6992.88,0.69
2026-08-07,美股,7,7,09926,康方生物,生物医药,100.0,4.11,3.95,9.02,921.14,0.99
2026-08-07,美股,8,13,01548,金斯瑞生物科技,生物医药,22.98,16.18,3.2,16.46,502.99,3.59
2026-08-07,美股,9,9,09988,阿里巴巴-W,互联网,123.8,-0.48,-0.6,71.85,23738.64,0.3
