日期,榜单,排名,排名变化,股票代码,股票名称,行业,当前价格,涨跌幅(%),涨跌额,成交额(亿),总市值(亿),换手率(%)
2026-08-26,全球,1,0,02020,安踏体育,运动服饰,78.4,9.04,6.5,15.89,2191.18,0.74
2026-08-26,全球,2,0,SH688836,宇树科技-W,机器人,591.53,-1.87,-11.27,33.25,2392.53,18.56
2026-08-26,全球,3,0,SZ002475,立讯精密,消费电子,57.11,4.1,2.25,86.49,4419.07,2.12
2026-08-26,全球,4,0,SZ300308,中际旭创,光模块,850.9,0.58,4.9,186.04,9953.27,1.97
2026-08-26,全球,5,0,SZ300328,宜安科技,金属材料,17.33,8.04,1.29,13.93,119.65,12.18
2026-08-26,全球,6,0,SZ000568,泸州老窖,白酒,82.72,-2.37,-2.01,13.17,1217.56,1.08
2026-08-26,全球,7,0,SH601318,中国平安,保险,56.13,2.04,1.12,58.86,10163.82,0.99
2026-08-26,全球,8,1,SZ300476,胜宏科技,PCB,249.44,1.82,4.45,61.63,2451.46,2.86
2026-08-26,全球,9,-1,SH601899,紫金矿业,矿业,34.47,2.35,0.79,109.24,9165.82,1.53
2026-08-26,沪深,1,0,SH688836,宇树科技-W,机器人,591.53,-1.87,-11.27,33.25,2392.53,18.56
2026-08-26,沪深,2,0,SZ002475,立讯精密,消费电子,57.11,4.1,2.25,86.49,4419.07,2.12
2026-08-26,沪深,3,0,SZ300308,中际旭创,光模块,850.9,0.58,4.9,186.04,9953.27,1.97
2026-08-26,沪深,4,0,SZ300328,宜安科技,金属材料,17.33,8.04,1.29,13.93,119.65,12.18
2026-08-26,沪深,5,0,SZ000568,泸州老窖,白酒,82.72,-2.37,-2.01,13.17,1217.56,1.08
2026-08-26,沪深,6,0,SH601318,中国平安,保险,56.13,2.04,1.12,58.86,10163.82,0.99
2026-08-26,沪深,7,1,SZ300476,胜宏科技,PCB,249.44,1.82,4.45,61.63,2451.46,2.86
2026-08-26,沪深,8,-1,SH601899,紫金矿业,矿业,34.47,2.35,0.79,109.24,9165.82,1.53
2026-08-26,沪深,9,0,SH603083,剑桥科技,通信设备,190.85,10.0,17.35,49.96,702.81,9.79
2026-08-26,港股,1,2,NVDA,英伟达,半导体,213.05,2.1921,4.57,259.75,51558.1,0.51
2026-08-26,港股,2,6,MRNA,Moderna,生物医药,158.83,14.3567,19.94,76.55,634.11,12.33
2026-08-26,港股,3,8,SKHY,SK海力士,半导体,159.53,2.6775,4.16,19.51,11627.59,0.17
2026-08-26,港股,4,41,MU,美光科技,半导体,932.97,2.4758,22.54,178.05,10536.9,1.7
2026-08-26,港股,5,42,BABA,阿里巴巴,互联网,119.44,0.8188,0.97,18.69,2862.83,0.66
2026-08-26,港股,6,28,SNDK,闪迪,半导体,1480.77,-0.8271,-12.35,136.39,2168.13,6.17
2026-08-26,港股,7,28,PDD,拼多多,互联网,87.75,0.781,0.68,5.14,1249.03,0.41
2026-08-26,港股,8,68,SPCX,SpaceX,航空航天,137.95,2.1852,2.95,73.23,18184.27,0.4
2026-08-26,港股,9,132,NTES,网易,互联网,128.8,4.7453,5.835,1.21,824.64,0.15
2026-08-26,美股,1,0,02020,安踏体育,运动服饰,78.35,8.97,6.45,15.9,2192.58,0.74
2026-08-26,美股,2,0,00700,腾讯控股,互联网,446.8,1.09,4.8,61.03,40672.81,0.15
2026-08-26,美股,3,2,09992,泡泡玛特,潮玩,154.6,-0.39,-0.6,7.4,2058.93,0.36
2026-08-26,美股,4,2,01810,小米集团-W,消费电子,28.52,2.74,0.76,38.87,7346.47,0.64
2026-08-26,美股,5,2,09988,阿里巴巴-W,互联网,116.3,1.84,2.1,108.97,22300.51,0.49
2026-08-26,美股,6,5,09926,康方生物,生物医药,94.35,6.13,5.45,13.45,868.64,1.54
2026-08-26,美股,7,10,02005,石四药集团,医药,2.645,5.17,0.13,0.38,76.48,0.5
2026-08-26,美股,8,2,01952,云顶新耀,生物医药,37.82,2.66,0.98,11.68,133.82,8.4
2026-08-26,美股,9,3,01801,信达生物,生物医药,109.5,9.39,9.4,43.28,1911.08,2.26
