日期,榜单,排名,排名变化,股票代码,股票名称,行业,当前价格,涨跌幅(%),涨跌额,成交额(亿),总市值(亿),换手率(%)
2026-07-20,全球,1,0,SZ001309,德明利,其他,482.89,-10.0,-53.65,85.97,1095.41,10.76
2026-07-20,全球,2,1,02513,智谱,人工智能,890.5,-19.56,-216.5,110.91,4146.37,4.72
2026-07-20,全球,3,-1,SH603986,兆易创新,半导体,432.3,-6.66,-30.85,322.6,3033.64,10.66
2026-07-20,全球,4,0,SKHY,SK海力士,半导体,154.03,1.1293,1.72,116.3,11226.72,1.01
2026-07-20,全球,5,0,SZ002384,东山精密,消费电子,217.73,-10.0,-24.19,245.84,3987.96,7.85
2026-07-20,全球,6,0,SZ300308,中际旭创,光模块,1004.0,2.51,24.54,460.94,11196.96,4.09
2026-07-20,全球,7,0,SZ002466,天齐锂业,锂电材料,42.29,-10.0,-4.7,32.97,724.52,5.16
2026-07-20,全球,8,0,SZ300502,新易盛,光模块,510.0,5.62,27.12,345.31,7110.71,5.44
2026-07-20,全球,9,0,SZ300476,胜宏科技,PCB,224.11,-7.2,-17.39,104.99,2202.52,5.33
2026-07-20,沪深,1,0,SZ001309,德明利,其他,482.89,-10.0,-53.65,85.97,1095.41,10.76
2026-07-20,沪深,2,-1,SH603986,兆易创新,半导体,432.3,-6.66,-30.85,322.6,3033.64,10.66
2026-07-20,沪深,3,0,SZ002384,东山精密,消费电子,217.73,-10.0,-24.19,245.84,3987.96,7.85
2026-07-20,沪深,4,0,SZ300308,中际旭创,光模块,1004.0,2.51,24.54,460.94,11196.96,4.09
2026-07-20,沪深,5,0,SZ002466,天齐锂业,锂电材料,42.29,-10.0,-4.7,32.97,724.52,5.16
2026-07-20,沪深,6,0,SZ300502,新易盛,光模块,510.0,5.62,27.12,345.31,7110.71,5.44
2026-07-20,沪深,7,0,SZ300476,胜宏科技,PCB,224.11,-7.2,-17.39,104.99,2202.52,5.33
2026-07-20,沪深,8,0,SH600519,贵州茅台,白酒,1327.5,5.95,74.5,138.98,16594.83,0.85
2026-07-20,沪深,9,0,SH688146,中船特气,电子气体,200.8,-20.0,-50.2,40.0,1063.06,12.43
2026-07-20,港股,1,0,SKHY,SK海力士,半导体,154.03,1.1293,1.72,116.3,11226.72,1.01
2026-07-20,港股,2,1,MU,美光科技,半导体,848.95,-0.4981,-4.25,545.03,9587.98,5.61
2026-07-20,港股,3,3,SNDK,闪迪,半导体,1354.82,-3.987,-56.26,279.5,2006.35,13.38
2026-07-20,港股,4,6,BABA,阿里巴巴,互联网,114.97,-2.1449,-2.52,12.98,2755.68,0.47
2026-07-20,港股,5,1,NVDA,英伟达,半导体,202.81,-2.2131,-4.59,292.93,49080.02,0.6
2026-07-20,港股,6,-4,LITE,Lumentum控股,光通信,732.82,3.7651,26.59,35.52,570.13,6.35
2026-07-20,港股,7,-1,SPCX,SpaceX,航天,123.99,-5.4306,-7.12,104.74,16316.09,0.64
2026-07-20,港股,8,10,GLW,康宁,玻璃材料,154.61,-2.3865,-3.78,21.84,1330.63,1.65
2026-07-20,港股,9,-6,WDC,西部数据,半导体,477.22,2.23,10.41,55.11,1644.89,3.42
2026-07-20,美股,1,1,02513,智谱,人工智能,890.5,-19.56,-216.5,110.91,4146.37,4.72
2026-07-20,美股,2,0,00700,腾讯控股,互联网,477.8,3.51,16.2,146.78,43444.04,0.34
2026-07-20,美股,3,0,09992,泡泡玛特,消费零售,164.0,0.24,0.4,17.78,2184.03,0.81
2026-07-20,美股,4,-11,01919,中远海控,航运,15.19,1.33,0.2,3.71,2319.23,0.9
2026-07-20,美股,5,-2,09988,阿里巴巴-W,互联网,116.8,3.73,4.2,147.28,22398.18,0.65
2026-07-20,美股,6,-4,01810,小米集团-W,消费电子,27.74,3.2,0.86,46.21,7153.12,0.79
2026-07-20,美股,7,-5,02476,胜宏科技,PCB,212.4,-1.21,-2.6,7.09,2087.43,3.02
2026-07-20,美股,8,27,00883,中国海洋石油,石油,23.9,5.19,1.18,32.52,11359.66,0.31
2026-07-20,美股,9,-5,03986,兆易创新,半导体,533.5,0.0,0.0,28.8,3743.81,16.25
