日期,榜单,排名,排名变化,股票代码,股票名称,行业,当前价格,涨跌幅(%),涨跌额,成交额(亿),总市值(亿),换手率(%)
2026-08-10,全球,1,0,SZ300308,中际旭创,光模块,864.58,-6.01,-55.29,457.64,10113.29,4.74
2026-08-10,全球,2,0,SH603259,药明康德,医药外包,161.34,4.21,6.52,204.25,4813.99,5.12
2026-08-10,全球,3,0,SZ300476,胜宏科技,PCB,286.0,2.07,5.8,169.85,2810.76,7.0
2026-08-10,全球,4,0,SH688825,长鑫科技,半导体,51.3,-2.25,-1.18,256.74,34309.89,11.18
2026-08-10,全球,5,0,SZ000657,中钨高新,稀有金属,72.8,8.64,5.79,110.28,1658.82,10.97
2026-08-10,全球,6,0,SZ000636,风华高科,电子元件,61.7,5.85,3.41,125.73,713.88,18.6
2026-08-10,全球,7,0,00700,腾讯控股,互联网,481.4,0.54,2.6,74.37,43724.22,0.17
2026-08-10,全球,8,0,SH603986,兆易创新,半导体,403.03,-3.36,-14.02,255.98,2828.24,9.51
2026-08-10,全球,9,0,SZ300285,国瓷材料,新材料,76.11,7.38,5.23,124.19,758.85,19.77
2026-08-10,沪深,1,0,SZ300308,中际旭创,光模块,864.58,-6.01,-55.29,457.64,10113.29,4.74
2026-08-10,沪深,2,0,SH603259,药明康德,医药外包,161.34,4.21,6.52,204.25,4813.99,5.12
2026-08-10,沪深,3,0,SZ300476,胜宏科技,PCB,286.0,2.07,5.8,169.85,2810.76,7.0
2026-08-10,沪深,4,0,SH688825,长鑫科技,半导体,51.3,-2.25,-1.18,256.74,34309.89,11.18
2026-08-10,沪深,5,0,SZ000657,中钨高新,稀有金属,72.8,8.64,5.79,110.28,1658.82,10.97
2026-08-10,沪深,6,0,SZ000636,风华高科,电子元件,61.7,5.85,3.41,125.73,713.88,18.6
2026-08-10,沪深,7,0,SH603986,兆易创新,半导体,403.03,-3.36,-14.02,255.98,2828.24,9.51
2026-08-10,沪深,8,0,SZ300285,国瓷材料,新材料,76.11,7.38,5.23,124.19,758.85,19.77
2026-08-10,沪深,9,0,SH600519,贵州茅台,白酒,1348.86,3.03,39.64,84.28,16861.85,0.5
2026-08-10,港股,1,2,SKHY,SK海力士,半导体,137.91,-3.9156,-5.62,47.44,10051.78,0.47
2026-08-10,港股,2,12,MU,美光科技,半导体,877.57,-0.4424,-3.9,301.74,9911.22,3.06
2026-08-10,港股,3,7,SPCX,SpaceX,航天,133.11,15.8284,18.19,306.17,17546.27,1.84
2026-08-10,港股,4,10,LITE,Lumentum控股,光通信,890.17,6.2179,52.11,51.78,692.55,7.48
2026-08-10,港股,5,10,NVDA,英伟达,半导体,223.96,2.2695,4.97,235.62,54198.32,0.44
2026-08-10,港股,6,11,SNDK,闪迪,半导体,1212.21,-3.6843,-46.37,171.81,1806.19,9.36
2026-08-10,港股,7,35,BABA,阿里巴巴,互联网,128.41,1.2617,1.6,7.75,3077.83,0.25
2026-08-10,港股,8,14,COHR,Coherent,光学器件,379.13,13.4373,44.91,42.05,741.73,5.75
2026-08-10,港股,9,14,AAOI,应用光电,光模块,135.63,9.1853,11.41,33.58,114.7,28.5
2026-08-10,美股,1,0,00700,腾讯控股,互联网,481.4,0.54,2.6,74.37,43724.22,0.17
2026-08-10,美股,2,0,09992,泡泡玛特,消费品,154.4,-2.15,-3.4,20.77,2056.27,1.01
2026-08-10,美股,3,2,03690,美团-W,互联网,93.9,1.84,1.7,23.48,5798.77,0.45
2026-08-10,美股,4,2,09988,阿里巴巴-W,互联网,126.7,2.34,2.9,67.73,24294.71,0.28
2026-08-10,美股,5,0,01810,小米集团-W,消费电子,27.62,2.07,0.56,40.95,7137.6,0.7
2026-08-10,美股,6,0,07709,XL二南方海力士,半导体,28.7,-7.6,-2.36,48.39,281.26,17.25
2026-08-10,美股,7,-1,09926,康方生物,生物医药,101.5,1.5,1.5,9.24,934.96,0.97
2026-08-10,美股,8,-1,03308,中际旭创,光模块,1033.0,-6.94,-77.0,28.26,12083.36,4.95
2026-08-10,美股,9,2,02513,智谱,人工智能,1252.0,0.48,6.0,62.16,5829.6,2.05
