日期,榜单,排名,排名变化,股票代码,股票名称,行业,当前价格,涨跌幅(%),涨跌额,成交额(亿),总市值(亿),换手率(%)
2026-06-29,全球,1,0,SH603986,兆易创新,半导体,840.0,9.09,70.0,431.5,5894.7,8.1
2026-06-29,全球,2,0,SH688008,澜起科技,半导体,296.06,13.08,34.24,302.94,3618.45,9.31
2026-06-29,全球,3,1,SH688545,兴福电子,半导体,134.66,13.83,16.36,31.79,484.78,13.91
2026-06-29,全球,4,-1,SZ002409,雅克科技,半导体材料,207.46,10.0,18.86,84.36,987.36,13.08
2026-06-29,全球,5,0,SZ000725,京东方A,显示面板,7.95,2.05,0.16,324.89,2945.02,11.74
2026-06-29,全球,6,1,MU,美光科技,半导体,1132.33,-6.6935,-81.23,993.37,12788.46,7.65
2026-06-29,全球,7,1,SZ000636,风华高科,电子元器件,80.27,2.25,1.77,117.81,928.73,12.66
2026-06-29,全球,8,-2,SZ300308,中际旭创,光模块,1220.0,-2.7,-33.89,426.32,13605.86,3.18
2026-06-29,全球,9,0,SH600584,长电科技,半导体封装,103.25,2.34,2.36,324.4,1847.57,18.23
2026-06-29,沪深,1,0,SH603986,兆易创新,半导体,840.0,9.09,70.0,431.5,5894.7,8.1
2026-06-29,沪深,2,0,SH688008,澜起科技,半导体,296.06,13.08,34.24,302.94,3618.45,9.31
2026-06-29,沪深,3,1,SH688545,兴福电子,半导体,134.66,13.83,16.36,31.79,484.78,13.91
2026-06-29,沪深,4,-1,SZ002409,雅克科技,半导体材料,207.46,10.0,18.86,84.36,987.36,13.08
2026-06-29,沪深,5,0,SZ000725,京东方A,显示面板,7.95,2.05,0.16,324.89,2945.02,11.74
2026-06-29,沪深,6,1,SZ000636,风华高科,电子元器件,80.27,2.25,1.77,117.81,928.73,12.66
2026-06-29,沪深,7,-2,SZ300308,中际旭创,光模块,1220.0,-2.7,-33.89,426.32,13605.86,3.18
2026-06-29,沪深,8,0,SH600584,长电科技,半导体封装,103.25,2.34,2.36,324.4,1847.57,18.23
2026-06-29,沪深,9,0,SH688146,中船特气,特种气体,370.0,-4.05,-15.6,76.94,1958.82,14.9
2026-06-29,港股,1,1,MU,美光科技,半导体,1132.33,-6.6935,-81.23,993.37,12788.46,7.65
2026-06-29,港股,2,3,NVDA,英伟达,半导体,192.53,-1.6399,-3.21,346.54,46592.26,0.74
2026-06-29,港股,3,4,GLW,康宁,光纤材料,221.05,-3.0525,-6.96,99.48,1902.44,5.27
2026-06-29,港股,4,8,SPCX,SpaceX,航天,153.23,0.1503,0.23,194.68,20163.84,0.96
2026-06-29,港股,5,6,SNDK,闪迪,半导体存储,2090.71,-10.4621,-244.29,360.32,3096.13,11.39
2026-06-29,港股,6,15,BABA,阿里巴巴,互联网电商,94.81,-0.2735,-0.26,17.3,2275.69,0.76
2026-06-29,港股,7,-3,PDD,拼多多,互联网电商,76.55,4.4338,3.25,8.53,1089.61,0.8
2026-06-29,港股,8,1,AAPL,苹果,消费电子,283.78,3.1365,8.63,739.06,41679.78,1.78
2026-06-29,港股,9,54,RKLB,Rocket Lab,航天,84.54,4.7713,3.85,29.02,489.28,5.94
2026-06-29,美股,1,0,09992,泡泡玛特,潮玩消费,158.5,0.0,0.0,22.07,2110.78,1.05
2026-06-29,美股,2,0,00700,腾讯控股,互联网,420.2,2.04,8.4,139.56,38272.63,0.36
2026-06-29,美股,3,0,01810,小米集团-W,消费电子,21.86,2.05,0.44,45.22,5636.61,0.97
2026-06-29,美股,4,2,09926,康方生物,医药生物,91.65,10.02,8.35,22.43,844.23,2.66
2026-06-29,美股,5,23,09999,网易-S,互联网游戏,199.4,6.35,11.9,31.19,6362.14,7.12
2026-06-29,美股,6,-1,03690,美团-W,互联网,67.65,5.29,3.4,54.15,4177.13,1.42
2026-06-29,美股,7,-2,09988,阿里巴巴-W,互联网电商,93.0,3.91,3.5,115.41,17861.65,0.64
2026-06-29,美股,8,1,02513,智谱,人工智能,1961.0,-4.15,-85.0,33.06,8742.98,0.75
2026-06-29,美股,9,-4,03900,绿城中国,房地产,6.81,6.24,0.4,1.71,172.95,0.99
