日期,榜单,排名,排名变化,股票代码,股票名称,行业,当前价格,涨跌幅(%),涨跌额,成交额(亿),总市值(亿),换手率(%)
2026-08-12,全球,1,0,SH688825,长鑫科技,半导体,53.52,6.19,3.12,271.56,35794.65,11.42
2026-08-12,全球,2,0,00700,腾讯控股,互联网,461.6,-1.95,-9.2,126.8,41925.84,0.3
2026-08-12,全球,3,0,SH600285,羚锐制药,医药,20.47,-9.22,-2.08,9.02,116.09,7.74
2026-08-12,全球,4,0,SZ002739,儒意电影,影视传媒,10.78,6.52,0.66,42.78,227.65,19.0
2026-08-12,全球,5,0,SZ300308,中际旭创,光通信,921.0,3.84,34.04,284.08,10773.26,2.8
2026-08-12,全球,6,0,SH603228,景旺电子,印制电路板,98.21,10.0,8.93,61.45,983.27,6.77
2026-08-12,全球,7,0,SH600667,太极实业,半导体,22.71,7.12,1.51,110.07,474.99,24.11
2026-08-12,全球,8,0,SH603259,药明康德,医药外包,159.04,-0.73,-1.17,106.94,4745.37,2.71
2026-08-12,全球,9,0,SZ000636,风华高科,电子元件,66.51,1.0,0.66,117.76,769.53,15.65
2026-08-12,沪深,1,0,SH688825,长鑫科技,半导体,53.52,6.19,3.12,271.56,35794.65,11.42
2026-08-12,沪深,2,0,SH600285,羚锐制药,医药,20.47,-9.22,-2.08,9.02,116.09,7.74
2026-08-12,沪深,3,0,SZ002739,儒意电影,影视传媒,10.78,6.52,0.66,42.78,227.65,19.0
2026-08-12,沪深,4,0,SZ300308,中际旭创,光通信,921.0,3.84,34.04,284.08,10773.26,2.8
2026-08-12,沪深,5,0,SH603228,景旺电子,印制电路板,98.21,10.0,8.93,61.45,983.27,6.77
2026-08-12,沪深,6,0,SH600667,太极实业,半导体,22.71,7.12,1.51,110.07,474.99,24.11
2026-08-12,沪深,7,0,SH603259,药明康德,医药外包,159.04,-0.73,-1.17,106.94,4745.37,2.71
2026-08-12,沪深,8,0,SZ000636,风华高科,电子元件,66.51,1.0,0.66,117.76,769.53,15.65
2026-08-12,沪深,9,0,SZ300209,行云科技,数字营销,36.5,4.52,1.58,50.39,338.95,18.66
2026-08-12,港股,1,5,LITE,Lumentum控股,光通信,820.59,0.8703,7.08,48.7,727.04,6.76
2026-08-12,港股,2,-1,TME,腾讯音乐,互联网,8.72,-11.9192,-1.18,2.48,137.24,1.79
2026-08-12,港股,3,6,SKHY,SK海力士,半导体,141.65,4.701,6.36,23.84,10324.38,0.23
2026-08-12,港股,4,17,SNDK,闪迪,半导体,1271.05,2.6763,33.13,119.15,1893.86,6.32
2026-08-12,港股,5,13,MU,美光科技,半导体,868.52,0.8734,7.52,253.15,9809.01,2.61
2026-08-12,港股,6,11,CRWV,CoreWeave,云计算,90.32,2.4152,2.13,43.35,492.76,8.5
2026-08-12,港股,7,13,NVDA,英伟达,半导体,217.5,-0.023,-0.05,221.35,52635.0,0.42
2026-08-12,港股,8,16,BABA,阿里巴巴,互联网,127.85,-3.3782,-4.47,8.7,3064.4,0.28
2026-08-12,港股,9,3,SPCX,SpaceX,航天,133.29,-3.9282,-5.45,145.83,17569.99,0.83
2026-08-12,美股,1,0,00700,腾讯控股,互联网,461.6,-1.95,-9.2,126.8,41925.84,0.3
2026-08-12,美股,2,0,09992,泡泡玛特,消费品,151.0,-1.11,-1.7,18.25,2010.99,0.9
2026-08-12,美股,3,1,01888,建滔积层板,印制电路板,38.7,10.7,3.74,44.98,1219.61,3.83
2026-08-12,美股,4,0,09988,阿里巴巴-W,互联网,122.6,-3.01,-3.8,79.67,23508.54,0.34
2026-08-12,美股,5,3,01810,小米集团-W,消费电子,26.36,-1.13,-0.3,28.11,6789.95,0.5
2026-08-12,美股,6,4,00100,MINIMAX-W,人工智能,357.4,8.96,29.4,67.75,1248.17,7.25
2026-08-12,美股,7,6,00148,建滔集团,化工,46.98,4.82,2.16,9.63,527.01,1.85
2026-08-12,美股,8,2,07709,XL二南方海力士,半导体,31.52,12.17,3.42,78.6,308.9,25.59
2026-08-12,美股,9,3,03308,中际旭创,光通信,1109.0,8.83,90.0,16.81,12972.36,2.85
