日期,榜单,排名,排名变化,股票代码,股票名称,行业,当前价格,涨跌幅(%),涨跌额,成交额(亿),总市值(亿),换手率(%)
2026-09-15,全球,1,0,SZ300750,宁德时代,动力电池,316.36,-6.16,-20.75,155.59,14638.72,1.13
2026-09-15,全球,2,0,SH601127,赛力斯,新能源汽车,45.46,-5.09,-2.44,22.04,791.91,3.03
2026-09-15,全球,3,0,SH601919,中远海控,航运,15.98,-0.75,-0.12,7.44,2439.85,0.37
2026-09-15,全球,4,2,SH603186,华正新材,电子材料,251.57,10.0,22.87,24.84,394.44,6.35
2026-09-15,全球,5,0,SH601872,招商轮船,航运,20.5,2.5,0.5,35.73,1655.28,2.15
2026-09-15,全球,6,-2,00100,MINIMAX-W,人工智能,234.6,-7.05,-17.8,32.27,819.31,4.97
2026-09-15,全球,7,0,SZ300308,中际旭创,光模块,864.01,-1.03,-8.99,156.14,10177.26,1.62
2026-09-15,全球,8,0,02513,智谱,人工智能,680.0,-5.69,-41.0,58.57,3166.24,3.53
2026-09-15,全球,9,1,NVDA,英伟达,半导体,210.96,-3.36,-7.33,279.8,50841.36,0.55
2026-09-15,沪深,1,0,SZ300750,宁德时代,动力电池,316.36,-6.16,-20.75,155.59,14638.72,1.13
2026-09-15,沪深,2,0,SH601127,赛力斯,新能源汽车,45.46,-5.09,-2.44,22.04,791.91,3.03
2026-09-15,沪深,3,0,SH601919,中远海控,航运,15.98,-0.75,-0.12,7.44,2439.85,0.37
2026-09-15,沪深,4,2,SH603186,华正新材,电子材料,251.57,10.0,22.87,24.84,394.44,6.35
2026-09-15,沪深,5,0,SH601872,招商轮船,航运,20.5,2.5,0.5,35.73,1655.28,2.15
2026-09-15,沪深,6,0,SZ300308,中际旭创,光模块,864.01,-1.03,-8.99,156.14,10177.26,1.62
2026-09-15,沪深,7,1,SH688836,宇树科技-W,机器人,469.8,-0.04,-0.2,12.0,1900.17,8.4
2026-09-15,沪深,8,1,SZ000636,风华高科,电子元件,57.51,-2.36,-1.39,90.72,659.92,13.55
2026-09-15,沪深,9,-1,SZ000792,盐湖股份,锂矿,24.71,-1.71,-0.43,10.62,1307.55,0.81
2026-09-15,港股,1,1,NVDA,英伟达,半导体,210.96,-3.36,-7.33,279.8,50841.36,0.55
2026-09-15,港股,2,0,MU,美光科技,半导体,924.03,-5.253,-51.23,249.49,10435.93,2.4
2026-09-15,港股,3,1,SNDK,闪迪,半导体,1551.99,-4.9812,-81.36,148.18,2272.41,6.55
2026-09-15,港股,4,1,SKHY,SK海力士,半导体,175.63,-7.5972,-14.44,37.0,12801.06,0.29
2026-09-15,港股,5,-6,LI,理想汽车,新能源汽车,12.17,3.0483,0.36,0.3,125.75,0.23
2026-09-15,港股,6,1,LITE,Lumentum控股,光通信,835.03,-9.9242,-92.0,41.71,749.02,5.48
2026-09-15,港股,7,6,SPCX,SpaceX,航天,148.15,-2.0237,-3.06,101.55,19528.81,0.51
2026-09-15,港股,8,10,SMMT,Summit Therapeutics,生物医药,18.42,4.9573,0.87,1.31,146.95,0.89
2026-09-15,港股,9,3,GLW,康宁,光学材料,143.6,-13.7019,-22.8,26.01,1236.95,2.06
2026-09-15,美股,1,-2,00100,MINIMAX-W,人工智能,234.6,-7.05,-17.8,32.27,819.31,4.97
2026-09-15,美股,2,0,02513,智谱,人工智能,680.0,-5.69,-41.0,58.57,3166.24,3.53
2026-09-15,美股,3,-2,01024,快手-W,互联网,29.8,-2.55,-0.78,10.89,1289.44,0.98
2026-09-15,美股,4,1,09992,泡泡玛特,潮玩,152.2,-0.46,-0.7,5.61,2026.97,0.28
2026-09-15,美股,5,-2,00700,腾讯控股,互联网,438.8,1.9,8.2,95.78,39944.68,0.24
2026-09-15,美股,6,-2,01810,小米集团-W,消费电子,26.5,-2.43,-0.66,20.75,6826.23,0.36
2026-09-15,美股,7,-1,01357,美图公司,互联网,3.88,-8.06,-0.34,7.27,175.5,4.09
2026-09-15,美股,8,0,09926,康方生物,生物医药,95.25,-0.47,-0.45,8.12,877.39,0.93
2026-09-15,美股,9,4,09927,赛力斯,新能源汽车,34.68,-6.12,-2.26,1.36,604.12,3.56
