日期,榜单,排名,排名变化,股票代码,股票名称,行业,当前价格,涨跌幅(%),涨跌额,成交额(亿),总市值(亿),换手率(%)
2026-08-03,全球,1,0,SH603259,药明康德,医药外包,128.5,0.05,0.07,80.19,3834.13,2.52
2026-08-03,全球,2,0,SH603986,兆易创新,半导体,340.74,-10.0,-37.86,230.33,2391.13,9.83
2026-08-03,全球,3,0,SZ001309,德明利,光模块,349.0,-9.56,-36.9,97.75,791.69,16.49
2026-08-03,全球,4,1,SH688012,中微公司,半导体设备,309.85,-9.93,-34.15,113.15,2967.87,3.74
2026-08-03,全球,5,-1,SH688825,长鑫科技,半导体,54.99,1.89,1.02,299.89,36777.8,12.39
2026-08-03,全球,6,0,SZ000651,格力电器,家电,40.96,-3.17,-1.34,33.34,2294.34,1.46
2026-08-03,全球,7,0,SZ300308,中际旭创,光模块,902.5,0.05,0.49,291.44,10556.86,2.9
2026-08-03,全球,8,1,SZ000858,五粮液,白酒,78.06,0.08,0.06,21.8,3029.98,0.72
2026-08-03,全球,9,-1,SZ002384,东山精密,消费电子,162.81,-5.06,-8.67,133.93,2982.04,5.83
2026-08-03,沪深,1,0,SH603259,药明康德,医药外包,128.5,0.05,0.07,80.19,3834.13,2.52
2026-08-03,沪深,2,0,SH603986,兆易创新,半导体,340.74,-10.0,-37.86,230.33,2391.13,9.83
2026-08-03,沪深,3,0,SZ001309,德明利,光模块,349.0,-9.56,-36.9,97.75,791.69,16.49
2026-08-03,沪深,4,1,SH688012,中微公司,半导体设备,309.85,-9.93,-34.15,113.15,2967.87,3.74
2026-08-03,沪深,5,-1,SH688825,长鑫科技,半导体,54.99,1.89,1.02,299.89,36777.8,12.39
2026-08-03,沪深,6,0,SZ000651,格力电器,家电,40.96,-3.17,-1.34,33.34,2294.34,1.46
2026-08-03,沪深,7,0,SZ300308,中际旭创,光模块,902.5,0.05,0.49,291.44,10556.86,2.9
2026-08-03,沪深,8,1,SZ000858,五粮液,白酒,78.06,0.08,0.06,21.8,3029.98,0.72
2026-08-03,沪深,9,-1,SZ002384,东山精密,消费电子,162.81,-5.06,-8.67,133.93,2982.04,5.83
2026-08-03,港股,1,0,MU,美光科技,半导体,823.03,-5.9029,-51.63,465.18,9295.24,4.83
2026-08-03,港股,2,0,SKHY,SK海力士,半导体,143.73,-3.5369,-5.27,69.23,10475.98,0.63
2026-08-03,港股,3,0,SNDK,闪迪,半导体,1214.83,-5.0884,-65.13,267.14,1799.04,14.3
2026-08-03,港股,4,-2,NVDA,英伟达,半导体,200.75,2.9276,5.71,278.61,48581.5,0.58
2026-08-03,港股,5,0,BABA,阿里巴巴,互联网,122.25,5.098,5.93,20.67,2930.18,0.71
2026-08-03,港股,6,12,GOOG,谷歌C,互联网,356.65,6.8838,22.97,107.47,43618.29,0.25
2026-08-03,港股,7,-3,AMZN,亚马逊,互联网,271.58,15.3206,36.08,347.52,29293.47,1.2
2026-08-03,港股,8,-1,AAPL,苹果,消费电子,308.91,-7.3539,-24.52,403.49,45082.88,0.91
2026-08-03,港股,9,4,LITE,Lumentum控股,光模块,713.94,2.986,20.7,32.84,555.45,5.85
2026-08-03,美股,1,0,09988,阿里巴巴-W,互联网,125.2,7.01,8.2,239.35,24009.0,1.0
2026-08-03,美股,2,0,00700,腾讯控股,互联网,490.4,3.2,15.2,188.65,44589.7,0.43
2026-08-03,美股,3,0,02359,药明康德,医药外包,162.9,1.37,2.2,8.23,4827.72,1.04
2026-08-03,美股,4,0,02513,智谱,人工智能,940.0,-4.81,-47.5,56.07,4376.86,2.55
2026-08-03,美股,5,2,00981,中芯国际,半导体,62.2,-1.66,-1.05,51.53,5324.82,1.38
2026-08-03,美股,6,0,01810,小米集团-W,消费电子,27.96,-2.85,-0.82,80.6,7225.45,1.36
2026-08-03,美股,7,0,09992,泡泡玛特,潮玩,159.9,-1.66,-2.7,21.69,2129.51,1.01
2026-08-03,美股,8,4,00992,联想集团,消费电子,24.74,3.69,0.88,18.73,3068.91,0.62
2026-08-03,美股,9,-3,01888,建滔积层板,电子材料,30.0,1.97,0.58,29.39,945.43,3.26
