日期,榜单,排名,排名变化,股票代码,股票名称,行业,当前价格,涨跌幅(%),涨跌额,成交额(亿),总市值(亿),换手率(%)
2026-07-30,全球,1,0,SZ300308,中际旭创,光模块,825.35,-13.21,-125.65,298.34,9651.83,3.07
2026-07-30,全球,2,0,SH688825,C长鑫,半导体,50.3,-5.0,-2.65,197.64,33654.46,8.49
2026-07-30,全球,3,1,SZ300502,新易盛,光模块,359.54,-14.64,-61.66,192.64,5008.17,4.02
2026-07-30,全球,4,-1,SH603986,兆易创新,半导体,349.9,-3.88,-14.13,148.17,2455.41,6.11
2026-07-30,全球,5,0,SZ001309,德明利,消费电子,359.1,1.27,4.52,51.41,814.38,8.54
2026-07-30,全球,6,0,SZ002384,东山精密,消费电子,161.8,-10.0,-17.98,111.18,2963.54,4.81
2026-07-30,全球,7,0,SZ000858,五粮液,白酒,78.62,4.59,3.45,31.8,3051.72,1.06
2026-07-30,全球,8,0,SZ000938,紫光股份,IT设备,33.6,-9.99,-3.73,83.1,960.99,8.42
2026-07-30,全球,9,0,SH600519,贵州茅台,白酒,1354.36,2.53,33.36,41.23,16929.98,0.24
2026-07-30,沪深,1,0,SZ300308,中际旭创,光模块,825.13,-13.24,-125.87,298.42,9656.74,3.07
2026-07-30,沪深,2,0,SH688825,C长鑫,半导体,50.32,-4.97,-2.63,197.79,33707.97,8.5
2026-07-30,沪深,3,1,SZ300502,新易盛,光模块,359.2,-14.72,-62.0,192.75,5005.38,4.02
2026-07-30,沪深,4,-1,SH603986,兆易创新,半导体,349.9,-3.88,-14.13,148.33,2452.6,6.11
2026-07-30,沪深,5,0,SZ001309,德明利,消费电子,359.1,1.27,4.52,51.42,814.38,8.55
2026-07-30,沪深,6,0,SZ002384,东山精密,消费电子,161.8,-10.0,-17.98,111.18,2963.54,4.81
2026-07-30,沪深,7,0,SZ000858,五粮液,白酒,78.62,4.59,3.45,31.82,3051.33,1.06
2026-07-30,沪深,8,0,SZ000938,紫光股份,IT设备,33.6,-9.99,-3.73,83.1,960.99,8.42
2026-07-30,沪深,9,0,SH600519,贵州茅台,白酒,1354.43,2.53,33.43,41.24,16930.61,0.24
2026-07-30,港股,1,-4,SKHY,SK海力士,半导体,126.79,-2.5966,-3.38,85.13,9241.29,0.9
2026-07-30,港股,2,-9,MU,美光科技,半导体,739.0,-9.9363,-81.53,540.93,8346.22,6.18
2026-07-30,港股,3,-7,MSFT,微软,软件,390.54,-0.7144,-2.81,187.43,29005.41,0.64
2026-07-30,港股,4,-12,NVDA,英伟达,半导体,190.01,-3.5531,-7.0,283.76,45982.42,0.61
2026-07-30,港股,5,-19,SNDK,闪迪,半导体,1015.89,-7.3178,-80.21,256.34,1504.43,16.54
2026-07-30,港股,6,-35,META,Meta,互联网,585.61,-1.3144,-7.8,129.24,14865.26,0.88
2026-07-30,港股,7,-18,AAPL,苹果,消费电子,338.19,-0.5558,-1.89,190.98,49671.17,0.38
2026-07-30,港股,8,-21,SPCX,SpaceX,航天,112.55,-3.3159,-3.86,61.38,14810.68,0.41
2026-07-30,港股,9,-41,TSLA,特斯拉,新能源汽车,298.32,-2.9664,-9.12,119.27,11782.29,1.0
2026-07-30,美股,1,0,03308,中际旭创,光模块,917.0,-6.43,-63.0,60.55,10726.47,11.65
2026-07-30,美股,2,-1,01810,小米集团-W,消费电子,31.18,-2.2,-0.7,36.98,8057.09,0.55
2026-07-30,美股,3,0,07709,XL二南方海力士,半导体,28.24,-13.64,-4.46,61.71,234.09,23.99
2026-07-30,美股,4,-1,00700,腾讯控股,互联网,465.6,-0.17,-0.8,43.63,42371.13,0.1
2026-07-30,美股,5,0,09992,泡泡玛特,潮玩,167.4,0.6,1.0,10.47,2229.4,0.46
2026-07-30,美股,6,1,02513,智谱,人工智能,903.0,-12.58,-130.0,32.45,4195.26,1.41
2026-07-30,美股,7,-6,09988,阿里巴巴-W,互联网,111.7,-1.67,-1.9,29.06,21458.53,0.13
2026-07-30,美股,8,-2,03986,兆易创新,半导体,430.6,-1.37,-6.0,13.88,3020.31,9.35
2026-07-30,美股,9,5,00981,中芯国际,半导体,63.7,-5.21,-3.5,24.32,5461.79,0.62
