日期,榜单,排名,排名变化,股票代码,股票名称,行业,当前价格,涨跌幅(%),涨跌额,成交额(亿),总市值(亿),换手率(%)
2026-07-10,全球,1,0,SH603986,兆易创新,半导体,612.0,-7.76,-51.49,593.81,4294.68,13.28
2026-07-10,全球,2,0,SZ300308,中际旭创,光通信,1093.98,-8.45,-100.92,490.28,12200.44,3.81
2026-07-10,全球,3,0,03986,兆易创新,半导体,742.5,-21.05,-198.0,74.19,5210.46,25.84
2026-07-10,全球,4,0,SZ002192,融捷股份,锂矿,71.15,-10.01,-7.91,26.61,184.74,14.27
2026-07-10,全球,5,0,SZ300750,宁德时代,新能源电池,348.76,-7.12,-26.74,198.68,16135.91,1.31
2026-07-10,全球,6,0,SZ300476,胜宏科技,PCB,272.0,-8.32,-24.7,142.87,2673.17,5.7
2026-07-10,全球,7,0,SH688146,中船特气,特种气体,293.99,-19.14,-69.61,64.77,1556.42,13.71
2026-07-10,全球,8,0,02513,智谱,人工智能,1640.0,-19.29,-392.0,132.6,7311.83,3.32
2026-07-10,全球,9,0,SZ300475,香农芯创,半导体,271.0,1.13,3.02,119.19,1272.46,9.65
2026-07-10,沪深,1,0,SH603986,兆易创新,半导体,612.0,-7.76,-51.49,593.81,4294.68,13.28
2026-07-10,沪深,2,0,SZ300308,中际旭创,光通信,1093.98,-8.45,-100.92,490.28,12200.44,3.81
2026-07-10,沪深,3,0,SZ002192,融捷股份,锂矿,71.15,-10.01,-7.91,26.61,184.74,14.27
2026-07-10,沪深,4,0,SZ300750,宁德时代,新能源电池,348.76,-7.12,-26.74,198.68,16135.91,1.31
2026-07-10,沪深,5,0,SZ300476,胜宏科技,PCB,272.0,-8.32,-24.7,142.87,2673.17,5.7
2026-07-10,沪深,6,0,SH688146,中船特气,特种气体,293.99,-19.14,-69.61,64.77,1556.42,13.71
2026-07-10,沪深,7,0,SZ300475,香农芯创,半导体,271.0,1.13,3.02,119.19,1272.46,9.65
2026-07-10,沪深,8,0,SZ001270,铖昌科技,半导体,166.3,1.27,2.08,38.42,342.77,11.04
2026-07-10,沪深,9,0,SZ002384,东山精密,消费电子,242.3,-7.28,-19.02,310.97,4437.99,8.58
2026-07-10,港股,1,5,MU,美光科技,半导体,991.64,4.5152,42.84,415.11,11199.51,3.64
2026-07-10,港股,2,0,SPCX,SpaceX,航天,152.16,2.6028,3.86,70.14,20023.04,0.35
2026-07-10,港股,3,2,SNDK,闪迪,半导体,1858.27,7.5898,131.09,249.75,2751.91,9.02
2026-07-10,港股,4,10,META,Meta,互联网,631.48,4.7022,28.36,162.61,16029.64,1.05
2026-07-10,港股,5,1,BABA,阿里巴巴,互联网,111.14,1.982,2.16,15.66,2665.24,0.59
2026-07-10,港股,6,-2,SKHY,SK海力士,半导体,,,,,,
2026-07-10,港股,7,0,NVDA,英伟达,半导体,202.78,-0.6565,-1.34,267.18,49072.76,0.55
2026-07-10,港股,8,12,LITE,Lumentum控股,光通信,785.77,11.1257,78.67,43.42,611.33,7.1
2026-07-10,港股,9,6,SKHYV,SK海力士 WI,半导体,149.0,,,,10860.1,
2026-07-10,美股,1,0,03986,兆易创新,半导体,742.5,-21.05,-198.0,74.19,5210.46,25.84
2026-07-10,美股,2,0,02513,智谱,人工智能,1640.0,-19.29,-392.0,132.6,7311.83,3.32
2026-07-10,美股,3,-1,00700,腾讯控股,互联网,460.2,-2.0,-9.4,187.61,41843.76,0.44
2026-07-10,美股,4,0,09992,泡泡玛特,消费品,150.7,-0.2,-0.3,16.0,2006.91,0.8
2026-07-10,美股,5,2,01810,小米集团-W,消费电子,25.84,3.36,0.84,65.52,6662.94,1.19
2026-07-10,美股,6,-2,09988,阿里巴巴-W,互联网,110.2,2.04,2.2,115.34,21132.53,0.54
2026-07-10,美股,7,-6,02476,胜宏科技,PCB,230.2,-12.87,-34.0,25.24,2262.37,9.21
2026-07-10,美股,8,8,07709,XL二南方海力士,半导体,89.4,-6.88,-6.6,101.81,683.46,14.2
2026-07-10,美股,9,-3,00100,MINIMAX-W,人工智能,268.6,-9.68,-28.8,35.94,842.42,5.73
