日期,榜单,排名,排名变化,股票代码,股票名称,行业,当前价格,涨跌幅(%),涨跌额,成交额(亿),总市值(亿),换手率(%)
2026-08-20,全球,1,0,SH688836,C宇树-W,机器人,687.0,-18.7,-158.0,90.72,2778.67,41.98
2026-08-20,全球,2,1,SH688766,普冉股份,半导体,480.36,7.42,33.16,80.94,714.31,11.96
2026-08-20,全球,3,-1,SH688825,长鑫科技,半导体,57.57,0.03,0.02,169.66,38503.33,6.58
2026-08-20,全球,4,0,SZ300308,中际旭创,光模块,904.2,0.96,8.6,203.38,10576.74,2.05
2026-08-20,全球,5,0,SH600664,哈药股份,医药,9.08,0.22,0.02,44.38,228.68,19.37
2026-08-20,全球,6,0,SH603259,药明康德,医药,167.9,2.38,3.9,145.89,5009.73,3.47
2026-08-20,全球,7,0,SH600276,恒瑞医药,医药,49.5,-6.0,-3.16,119.3,3285.41,3.74
2026-08-20,全球,8,0,01952,云顶新耀,医药,32.88,38.15,9.08,41.92,117.26,32.1
2026-08-20,全球,9,0,SH603986,兆易创新,半导体,403.5,-0.05,-0.21,146.29,2831.54,5.41
2026-08-20,沪深,1,0,SH688836,C宇树-W,机器人,687.0,-18.7,-158.0,90.72,2778.67,41.98
2026-08-20,沪深,2,1,SH688766,普冉股份,半导体,480.36,7.42,33.16,80.94,714.31,11.96
2026-08-20,沪深,3,-1,SH688825,长鑫科技,半导体,57.57,0.03,0.02,169.66,38503.33,6.58
2026-08-20,沪深,4,0,SZ300308,中际旭创,光模块,904.2,0.96,8.6,203.38,10576.74,2.05
2026-08-20,沪深,5,0,SH600664,哈药股份,医药,9.08,0.22,0.02,44.38,228.68,19.37
2026-08-20,沪深,6,0,SH603259,药明康德,医药,167.9,2.38,3.9,145.89,5009.73,3.47
2026-08-20,沪深,7,0,SH600276,恒瑞医药,医药,49.5,-6.0,-3.16,119.3,3285.41,3.74
2026-08-20,沪深,8,0,SH603986,兆易创新,半导体,403.5,-0.05,-0.21,146.29,2831.54,5.41
2026-08-20,沪深,9,-1,SH601899,紫金矿业,矿业,34.25,4.55,1.49,141.79,9107.32,2.0
2026-08-20,港股,1,0,MRNA,Moderna,医药,174.38,176.9695,111.42,292.69,696.19,49.91
2026-08-20,港股,2,5,BABA,阿里巴巴,互联网,128.9,0.5853,0.75,14.96,3089.57,0.49
2026-08-20,港股,3,1,SKHY,SK海力士,半导体,156.16,0.347,0.54,54.26,11381.96,0.47
2026-08-20,港股,4,13,SNDK,闪迪,半导体,1568.87,-3.5005,-56.91,259.94,2297.12,11.12
2026-08-20,港股,5,11,MU,美光科技,半导体,937.105,-0.3885,-3.655,251.45,10583.6,2.38
2026-08-20,港股,6,5,NVDA,英伟达,半导体,217.56,-0.9921,-2.18,211.79,52649.52,0.4
2026-08-20,港股,7,-1,MRK,默沙东,医药,152.2,12.5989,17.03,49.2,3755.04,1.33
2026-08-20,港股,8,13,PDD,拼多多,互联网,90.2,3.3574,2.93,5.62,1283.9,0.44
2026-08-20,港股,9,33,SPCX,SpaceX,航空航天,139.65,-2.5743,-3.69,107.0,18408.36,0.58
2026-08-20,美股,1,0,01952,云顶新耀,医药,33.04,38.82,9.24,41.93,116.98,32.11
2026-08-20,美股,2,0,09992,泡泡玛特,消费,154.1,2.39,3.6,16.0,2053.6,0.78
2026-08-20,美股,3,1,01024,快手-W,互联网,33.54,-11.27,-4.26,80.51,1451.18,6.5
2026-08-20,美股,4,1,00700,腾讯控股,互联网,452.4,1.16,5.2,80.65,41182.54,0.2
2026-08-20,美股,5,0,09988,阿里巴巴-W,互联网,126.9,2.17,2.7,107.8,24352.24,0.44
2026-08-20,美股,6,1,01810,小米集团-W,消费电子,27.9,1.68,0.46,47.34,7186.64,0.79
2026-08-20,美股,7,1,09926,康方生物,医药,93.95,5.21,4.65,23.43,864.95,2.64
2026-08-20,美股,8,2,03696,英矽智能,医药,43.82,11.16,4.4,16.1,255.22,6.38
2026-08-20,美股,9,2,07709,XL二南方海力士,半导体,37.7,3.4,1.24,84.25,388.86,21.59
