日期,榜单,排名,排名变化,股票代码,股票名称,行业,当前价格,涨跌幅(%),涨跌额,成交额(亿),总市值(亿),换手率(%)
2026-08-19,全球,1,0,SH688836,N宇树-W,机器人,845.0,460.34,694.2,231.6,3417.72,85.28
2026-08-19,全球,2,0,SZ300308,中际旭创,光模块,895.6,-9.36,-92.5,328.82,10476.14,3.23
2026-08-19,全球,3,0,SH688825,长鑫科技,半导体,57.55,-2.77,-1.64,262.68,38489.95,10.23
2026-08-19,全球,4,1,07709,XL二南方海力士,半导体,36.36,-1.46,-0.54,109.69,393.23,31.41
2026-08-19,全球,5,-1,SH603986,兆易创新,半导体,403.71,-7.56,-33.03,269.19,2833.01,9.91
2026-08-19,全球,6,0,SH600519,贵州茅台,白酒,1307.88,0.76,9.89,48.77,16349.57,0.3
2026-08-19,全球,7,0,SKHY,SK海力士,半导体,155.62,-9.1959,-15.76,36.17,11342.6,0.31
2026-08-19,全球,8,0,SZ002202,金风科技,风电设备,22.03,0.09,0.02,94.64,930.5,12.14
2026-08-19,全球,9,0,SH603259,药明康德,医药,164.0,-1.9,-3.18,91.87,4893.36,2.26
2026-08-19,沪深,1,0,SH688836,N宇树-W,机器人,845.0,460.34,694.2,231.6,3417.72,85.28
2026-08-19,沪深,2,0,SZ300308,中际旭创,光模块,895.6,-9.36,-92.5,328.82,10476.14,3.23
2026-08-19,沪深,3,0,SH688825,长鑫科技,半导体,57.55,-2.77,-1.64,262.68,38489.95,10.23
2026-08-19,沪深,4,-1,SH603986,兆易创新,半导体,403.71,-7.56,-33.03,269.19,2833.01,9.91
2026-08-19,沪深,5,0,SH600519,贵州茅台,白酒,1307.88,0.76,9.89,48.77,16349.57,0.3
2026-08-19,沪深,6,0,SZ002202,金风科技,风电设备,22.03,0.09,0.02,94.64,930.5,12.14
2026-08-19,沪深,7,0,SH603259,药明康德,医药,164.0,-1.9,-3.18,91.87,4893.36,2.26
2026-08-19,沪深,8,0,SZ300209,行云科技,其他,32.51,-10.86,-3.96,39.56,301.9,15.75
2026-08-19,沪深,9,3,SH688766,普冉股份,半导体,447.2,-4.2,-19.61,76.13,665.0,11.68
2026-08-19,港股,1,0,SKHY,SK海力士,半导体,155.62,-9.1959,-15.76,36.17,11342.6,0.31
2026-08-19,港股,2,8,SNDK,闪迪,半导体,1625.78,-9.0142,-161.07,306.83,2380.45,12.74
2026-08-19,港股,3,10,MU,美光科技,半导体,940.76,-7.0166,-70.99,353.17,10624.88,3.3
2026-08-19,港股,4,2,NVDA,英伟达,半导体,219.74,-2.3421,-5.27,226.69,53177.08,0.43
2026-08-19,港股,5,34,SPCX,SpaceX,航天,143.34,-1.9763,-2.89,120.34,18894.76,0.64
2026-08-19,港股,6,27,LITE,Lumentum控股,光通信,873.31,-9.8658,-95.59,53.38,783.36,6.7
2026-08-19,港股,7,28,BABA,阿里巴巴,互联网,128.15,2.7584,3.44,16.38,3071.59,0.53
2026-08-19,港股,8,23,BIDU,百度,互联网,90.87,-12.7257,-13.25,15.04,308.22,4.79
2026-08-19,港股,9,69,GLW,康宁,光学材料,159.9,-7.6843,-13.31,17.78,1377.36,1.28
2026-08-19,美股,1,1,07709,XL二南方海力士,半导体,36.38,-1.41,-0.52,109.79,394.1,31.44
2026-08-19,美股,2,1,01810,小米集团-W,消费电子,27.46,4.89,1.28,88.65,7078.45,1.51
2026-08-19,美股,3,4,00700,腾讯控股,互联网,447.2,1.08,4.8,80.67,40709.17,0.2
2026-08-19,美股,4,4,09992,泡泡玛特,潮玩,150.9,0.53,0.8,10.21,2009.65,0.51
2026-08-19,美股,5,2,01024,快手-W,互联网,37.66,-4.37,-1.72,29.3,1629.44,2.11
2026-08-19,美股,6,9,03986,兆易创新,半导体,495.6,-4.23,-21.9,21.42,3480.66,13.36
2026-08-19,美股,7,18,09988,阿里巴巴-W,互联网,124.5,-1.74,-2.2,80.67,23853.69,0.34
2026-08-19,美股,8,12,01952,云顶新耀,医药,23.86,-18.51,-5.42,4.02,84.43,4.61
2026-08-19,美股,9,10,02513,智谱,人工智能,1006.0,-3.55,-37.0,43.42,4688.82,1.77
